編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRPMLMKNHMFFHF98CC,33,8.39,共有部分,鋼筋混凝土造,73年1月17日,十層,
RPVPMLMKNHMFFHF76CC,7,71.19,見其他登記事項,見其他登記事項,99年4月7日,十四層,
RPVPMLMKNHMFFHF76CC,7,31.64,見其他登記事項,見其他登記事項,99年4月7日,十四層,
RPVOMLMKNHMFFIF76CC,23,128.67,住家用,鋼筋混凝土造,83年5月10日,十六層,
RPOQMLMKNHMFFIF88CC,18,246.72,工業用,鋼筋混凝土造,88年4月3日,十層,
RPOQMLMKNHMFFIF88CC,18,89.38,共有部份,鋼筋混凝土造,88年4月3日,十層,
RPWNMLMKNHMFFBF68CC,2,65.21,見其他登記事項,鋼筋混凝土造,104年10月20日,二十層,
RPWNMLMKNHMFFBF68CC,2,16.31,見其他登記事項,鋼筋混凝土造,104年10月20日,二十二層,
RPWNMLMKNHMFFBF68CC,2,49.96,見其他登記事項,鋼筋混凝土造,104年10月20日,二十二層,
RPWNMLMKNHMFFDF88CC,5,203.62,工業用,鋼筋混凝土造,101年9月19日,十七層,
RPWNMLMKNHMFFDF88CC,5,56.08,見其他登記事項,鋼筋混凝土造,101年9月19日,十七層,
RPWNMLMKNHMFFDF88CC,5,33.88,見其他登記事項,鋼筋混凝土造,101年9月19日,十七層,
RPWNMLMKNHMFFDF88CC,5,40.74,見其他登記事項,鋼筋混凝土造,101年9月19日,十七層,
RPUOMLMKNHMFFDF78CC,19,97.07,住家用,鋼筋混凝土造,87年7月10日,十四層,
RPUNMLMKNHMFFCF58CC,,90.10,工業用,鋼筋混凝土造,,五層,
RPVPMLMKNHMFFAF68CC,19,62.72,住家用,鋼筋混凝土造,87年2月7日,十四層,
RPVPMLMKNHMFFAF68CC,19,6.30,共有部份,鋼筋混凝土造,87年2月7日,十四層,
RPVPMLMKNHMFFAF68CC,19,2.68,共有部份,鋼筋混凝土造,87年2月7日,十四層,
RPVPMLMKNHMFFAF68CC,19,10.54,共有部份,鋼筋混凝土造,87年2月7日,十四層,
RPPNMLNKNHMFFDF28CC,17,81.98,住家用,鋼筋混凝土造,88年12月2日,二十八層,
RPPNMLNKNHMFFDF28CC,17,6.60,共有部分,鋼筋混凝土造,88年12月2日,二十八層,
RPPNMLNKNHMFFDF28CC,17,20.57,共有部分,鋼筋混凝土造,88年12月2日,二十八層,
RPPNMLOKNHMFFBF18CC,22,95.46,住商用,鋼筋混凝土造,83年11月30日,十一層,
RPPNMLOKNHMFFBF18CC,22,3.43,共有部份,鋼筋混凝土造,83年11月30日,十一層,
RPPNMLOKNHMFFBF18CC,22,19.19,共有部份,鋼筋混凝土造,83年11月30日,十一層,
RPRNMLOKNHMFFEF68CC,12,1.06,共有部份,鋼筋混凝土造,94年4月11日,九層,
RPRNMLOKNHMFFEF68CC,12,16.17,共有部份,鋼筋混凝土造,94年4月11日,九層,
RPRNMLOKNHMFFEF68CC,12,47.17,住家用,鋼筋混凝土造,94年4月11日,九層,
RPSNMLOKNHMFFEF78CC,42,16.00,住家用,鋼筋混凝土造,64年3月26日,四層,
RPQPMLPKNHMFFIF66CC,22,181.87,工業用,鋼筋混凝土造,84年10月19日,三層,
RPSNMLPKNHMFFHF56CC,8,29.89,見其他登記事項,鋼筋混凝土造,97年9月30日,十四層,
RPSNMLPKNHMFFHF56CC,8,16.53,共有部分,鋼筋混凝土造,97年9月30日,十五層,
