鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
內湖區,房地(土地+建物)+車位,臺北市內湖區堤頂大道二段1~30號,49.79,其他,,,1060420,土地1建物1車位2,八層,八層,廠辦,工業用,鋼筋混凝土造,0871023,340.86,0,0,0,無,有,14400000,42246,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLNJNHMFFCA47CA
內湖區,房地(土地+建物)+車位,臺北市內湖區堤頂大道二段1~30號,73.55,其他,,,1060420,土地1建物1車位3,八層,八層,廠辦,工業用,鋼筋混凝土造,0871023,503.46000000000004,0,0,0,無,有,21400000,42506,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLNJNHMFFCA57CA
中山區,房地(土地+建物),臺北市中山區龍江路292巷1~30號,20.91,住,,,1060318,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840803,76.37,2,2,1,有,無,15150000,198376,,0.0,0,含增建或未登記建物。,RPXNMLOJNHMFFCA28CA
中山區,車位,臺北市中山區林森北路481~510號,0.26,商,,,1060412,土地0建物0車位1,地下二層，地下三層，地下四層，地下五層,十四層,其他,停車空間,鋼筋混凝土造,0920122,54.71,0,0,0,有,無,1900000,,坡道平面,54.1,0,,RPRRMLPJNHMFFCA18CA
中山區,房地(土地+建物),臺北市中山區民生東路一段27巷1~30號,8.1,商,,,1060414,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0891026,56.209999999999994,1,1,1,有,有,9880000,175769,,0.0,0,,RPRPMLOJNHMFFCA87CA
內湖區,房地(土地+建物)+車位,臺北市內湖區康寧路一段195巷3弄1~30號,55.06,住,,,1060307,土地1建物1車位2,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830504,143.20999999999998,3,2,2,有,無,16000000,111724,一樓平面,0.0,0,,RPVNMLKKNHMFFCA77CA
大同區,房地(土地+建物)+車位,臺北市大同區民權西路144巷1~30號,25.91,住,,,1060416,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0750403,140.78,3,2,2,有,有,15000000,106549,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。,RPTOMLSJOHMFFBA38CA
大同區,房地(土地+建物),臺北市大同區保安街78巷1~30號,33.3,商,,,1060421,土地2建物1車位0,全,一層,透天厝,住家用,磚造,0351225,27.84,4,0,1,有,無,20500000,736351,,0.0,0,,RPWOMLMKOHMFFBA18CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,4.35,商,,,1060413,土地1建物1車位0,八層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,64.24,1,1,1,有,有,12480000,194271,,0.0,0,,RPSNMLPLNHMFFBA97CA
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路91~120號,5.58,商,,,1060331,土地1建物1車位1,二十六層,二十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050331,111.1,2,2,1,有,有,18580000,207752,坡道平面,33.7,2500000,,RPTNMLPLNHMFFBA08CA
