鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,29.36,住,,,1060424,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,179.55,3,2,2,有,有,12110000,67446,坡道平面,0.0,0,,RPRQMLLKOHMFFCJ78CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,28.68,住,,,1060424,土地1建物1車位2,十四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,200.74,3,2,2,有,有,12740000,63465,坡道平面,0.0,0,,RPSQMLLKOHMFFCJ88CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,0.02,住,,,1060424,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,167.8,3,2,2,有,有,11330000,67521,坡道平面,0.0,0,,RPTQMLLKOHMFFCJ98CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路181~210號,34.88,住,,,1060424,土地1建物1車位1,一層，見其他登記事項,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,190.96,0,1,2,有,有,20250000,106043,坡道平面,0.0,0,,RPWQMLLKOHMFFCJ66CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,27.14,住,,,1060424,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,167.8,3,2,2,有,有,9960000,59356,坡道平面,0.0,0,,RPXQMLLKOHMFFCJ76CA
湖口鄉,房地(土地+建物),新竹縣湖口鄉新生三路61~90號,15.29,,工業區,丁種建築用地,1060318,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1040911,71.42,3,2,1,有,無,4260000,59647,,0.0,0,,RPXNMLMKNHMFFDJ56CA
湖口鄉,房地(土地+建物),新竹縣湖口鄉長威三街31~60號,96.27,,鄉村區,乙種建築用地,1060418,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,91.26,5,2,2,有,無,4500000,49310,,0.0,0,,RPPNMLQKNHMFFDJ78CA
湖口鄉,房地(土地+建物),新竹縣湖口鄉蘭州二街1~30號,22.59,,工業區,丁種建築用地,1060403,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960202,79.68,3,2,2,有,有,3800000,47691,,0.0,0,,RPQNMLQKNHMFFDJ88CA
湖口鄉,房地(土地+建物),新竹縣湖口鄉新湖路470巷99弄1~30號,93.18,,特定農業區,甲種建築用地,1060420,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0970625,200.04,5,2,3,有,無,7000000,34993,,0.0,0,,RPPNMLMLNHMFFDJ48CA
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉明德街97巷50弄1~30號,48.0,住,,,1060331,土地3建物1車位1,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050919,126.01,3,2,2,有,有,5950000,47218,一樓平面,0.0,0,,RPOQMLQJOHMFFDJ98CA
